company_id,company_name,location,company_details
cid_80,JOJOMath（成都书声科技有限公司）,中国(四川)自由贸易试验区,JOJO 是面向全球儿童的 AI 教育独角兽，JOJO Math 公司重点出海项目。我们在做的，不是一款普通 App，而是⼀场结合「专注力＋习惯力」的教育革新，用 AI 帮助孩子学会练习、坚持、成为自己的老师。 团队日常使用 ChatGPT、Cursor、Dify 等工具链推动产品从0到1，用自动化与智能交互打造全球儿童都爱用的学习体验。这里没有 paper talk，只有边做边学的实战练习。 欢迎你加入团队，和我们一起提升专注力产品的全球影响力。
cid_81,YouWare (新言意码),华中科技大学深圳产学研基地,"全球首个面向""Vibe Coder""的创新社区 创始人来自字节剪映&月之暗面核心团队 上线3个月吸引数万创作者，从复古游戏到AI艺术 🌐 先来体验我们的世界：https://www.youware.com/ YouWare 是全球首个 Vibe Coding 社区，致力于让每个人的创意都能被实现、被看见、被激励。我们希望成为连接创作者、AI 内容和消费者的平台，让创作者的灵感瞬间落地，用户的差异化需求迅速得到满足，整体提升生产和创意表达的效率。 YouWare 提供从「自然语言生成网页」到「一键美化、实时预览、在线分享」的完整工具链，让创作变得简单高效。代码创作不应只属于少数技术精英，我们希望通过富有活力的社区环境来激发创意，通过低门槛的工具来实现创意，让 Coding 成为大众可及的创作手段。在这里，创作者优先，创意至上，我们以工具辅助创作者更自由地表达。"
cid_82,天创信用服务有限公司,平安国际金融中心,天创信用是国内知名的金融科技公司，成立于2015年，以大数据征信和智能风控为核心，致力于帮助金融端与场景端更智能、更高效、更安全地连接。天创拥有央行颁发的企业征信资质以及发改委颁发的电力、农业行业征信资质，同时也是国家高新技术企业和公安部信息安全三级等保企业，连续入选毕马威中国金融科技50强，在业内屡获殊荣。 天创以技术立身，具有T.D.P三大核心能力，即用户画像与量化建模能力（T）、信用大数据能力（D）和金融科技全栈技术平台能力（P），能够为客户提供360度全景征信与风控解决方案。成立至今，天创已经为数十家银行（如兴业银行、广发银行、中信银行、民生银行、浦发银行、百信银行、微众银行等）、数百家非银持牌金融机构（如招联消金、捷信消金、苏宁消金、北银消金、中邮消金等）提供了反欺诈、信用评分、用户画像、企业信用报告等产品和服务，并在电力、农业、园区、汽车等细分领域与多家产业集团（如国家电网、大北农集团、长沙高新区等）建立了深度合作，更好地为产业链上的中小微企业提供金融支持；同时，天创也积极支持政府监管部门工作，在预付费资金监管、网贷平台逃废债追缴等项目中提供专业的技术与数据支撑。
cid_83,西云数据,颐堤港一座,北京西云数据科技有限公司（简称“西云数据”）是一家持有互联网数据中心服务和互联网资源协作服务牌照的云服务提供商。西云数据现与Amazon Web Services (AWS)建立了战略性技术合作关系，为本地客户运营和提供AWS云服务。
cid_84,最右,泰兴大厦,1. 关于公司： 最右公司主体是北京小川在线网络技术有限公司，成立于2014年底。公司成立7年时间经历了快速成长，目前阶段是D轮。 最右创始人李金波，北大数学系硕士，早期百度的核心工程师，也是迅雷前期的技术合伙人，连续创业者。目前是迅雷集团董事长兼CEO。 2. 关于产品： 最右是95后主力用户在移动互联网上的“兴趣社区”。在最右上，用户可以就任何感兴趣的话题发贴讨论，展开互动。可以解决问题，可以“耍宝卖萌”，可以沟通情感。最右上的内容和话题已经完全融入了年轻人的生活的方方面面，又有“贱萌”的气质，因此在年轻人心目中特别有归属感，深受年轻人的喜爱。
cid_85,阿里安全,阿里巴巴北京总部园区,阿里巴巴集团安全部，简称“阿里安全”，负责阿里巴巴集团的整体安全，通过先进的安全、AI等技术，在产业实战中形成安全最佳实践，保障阿里巴巴全球业务，为上亿用户和上千万商家提供安全可靠的服务。 阿里安全的使命是，让消费者安心，让业务方、商家与合作伙伴省心，让监管单位放心，让作恶者灰心。 阿里安全在网络安全、流量安全、内容安全、数据安全、智能风控、AI安全等多个方向持续投入深入研究，在丰富的业务实战中打磨安全能力、沉淀安全模型、落地安全产品。 背靠阿里巴巴丰富的业务形态及全球化的业务布局，阿里安全与多所顶尖高校建立合作探索前沿技术，总结了许多行业领先的产业实践，同时在全球多个顶级大会上发表高水平学术论文，申报多项国际、国内技术发明专利。
cid_86,小红书,小红书,2013年，小红书在上海创立。在小红书上，用户通过图文、视频、直播等形式记录生活，分享生活方式，并基于兴趣互动形成社区。以此为基础，小红书平台上涌现出内容与商业之间不断流转的良性交互，成长出独具特色的“种草经济”。 以科技为笔，以人文精神为墨，勾画人间烟火气，最抚凡人心。小红书以“Inspire Lives”为使命，历经10年的发展，布局内容社区、商业广告和电商交易三大业务板块，用户规模快速增长，互动更加紧密。打开小红书，用户可以看到“广阔的大世界”，从这里走向世界和未来，也可以身处“温暖的小社区”，与众多普通人产生连接。 截至2022年底，小红书月活用户超过2.6亿，其中90后用户占比超过70%，50%用户来自于三线及以下城市。截至2022年底，小红书社区拥有超过 6900 万分享者，月活分享者 2000 万，过去一年中，小红书用户日均笔记发布量300万篇。不断繁荣的生活方式数字资产，吸引了越来越多的品牌商家；截至2022年底，小红书上汇集了超过17万个品牌。围绕不断累积的UGC（普通用户生产内容），小红书正在成为越来越多用户的多元生活方式聚集地，和越来越多跨代际人群的生活百科全书。 2017年12月，小红书和华为等优秀公司一起，被《人民日报》评为代表中国消费科技产业的“中国品牌奖”。2019年2月，小红书入选快公司Fast Company“最具创新力企业”排行榜。2020年，小红书获上海市委宣传部颁发的“上海文化企业十佳”。 在公司发展过程中，小红书获得了真格基金、金沙江创投、阿里巴巴、腾讯投资、纪源资本等知名机构的投资。小红书总部位于上海新天地，在北京设有子公司，武汉设有研发中心和用户服务中心。
cid_87,智元机器人,中关村SOHO大厦,"智元机器人(Agibot)成立于2023年2月，由包括""稚晖君”彭志辉在内的多位业内大咖联合创办，公司使命为“以智能机器创造无限生产力”，是一家致力于以AI+机器人的融合创新，打造世界级领先的具身智能机器人产品及应用生态的创新企业。创始团队包括“稚晖君""彭志辉在内的多位业内资深人士，背景综合互补，具有深厚的核心技术背景、产业管理经验和产业资源。"
cid_88,蚂蚁数字科技,Beijing City·蚂蚁科技集团股份有限公司创新科技总部,蚂蚁数字科技是蚂蚁集团科技商业化的独立版块，2024年4月开始独立运营。蚂蚁数科起步于蚂蚁链，并在区块链领域拥有全球最多的领先技术和专利。除此之外，还持续打造了多个商业化的产品品牌，包括ZOLOZ、mPaaS、SofaStack、蚁盾、蚁天鉴等。蚂蚁数科的核心科技能力和业务始终致力于帮助企业更好地拥抱数字时代。蚂蚁数科不仅解决企业和机构自身数字化升级、产业链之间数字化协作的问题，还对数字资产、资产数字化进行有益探索。截至目前，蚂蚁数科已经与超过300个合作伙伴共同服务了超过1万家企业客户。
cid_89,Keep,Keep总部,Keep是一个app，于2015 年2月4日上线，致力于提供健身教学、跑步、骑行、交友及健身饮食指导、装备购买等一站式运动解决方案。 Keep已开设线下运动空间Keepland，并发售KeepKit系列智能硬件产品。被 App Store 评为“2015年度精选应用”。 2023年7月12日，在香港联交所正式IPO，股份代号为3650。 2025年3月10日，运动科技平台KEEP（03650.HK）被深交所调出港股通目标证券名单。 2025年3月25日，Keep发布运动健康垂直领域的专属模型Kinetic.ai，并基于此模型同步上线了首个通用AI教练体验版——卡卡（Kaka）。
